Date,Currency,Exchange Rate,USD Equivalent,Percent Change
08/04/1981,French franc,0.7400,5.00870,0.147743
08/04/1981,Japanese yen,34.0000,213.10000,0.159550
08/04/1981,U.K. pound,0.0710,2.20470,0.156534
08/04/1981,U.S. dollar,0.5400,1.00000,0.540000
09/04/1981,Deutsche mark,0.4600,2.13850,0.215104
09/04/1981,French franc,0.7400,5.04870,0.146572
09/04/1981,Japanese yen,34.0000,213.95000,0.158916
09/04/1981,U.K. pound,0.0710,2.19250,0.155668
09/04/1981,U.S. dollar,0.5400,1.00000,0.540000
10/04/1981,Deutsche mark,0.4600,2.14680,0.214272
10/04/1981,French franc,0.7400,5.06400,0.146130
10/04/1981,Japanese yen,34.0000,214.30000,0.158656
10/04/1981,U.K. pound,0.0710,2.18820,0.155362
10/04/1981,U.S. dollar,0.5400,1.00000,0.540000
13/04/1981,Deutsche mark,0.4600,2.17490,0.211504
13/04/1981,French franc,0.7400,5.13200,0.144193
13/04/1981,Japanese yen,34.0000,216.80000,0.156827
13/04/1981,U.K. pound,0.0710,2.15820,0.153232
13/04/1981,U.S. dollar,0.5400,1.00000,0.540000
14/04/1981,Deutsche mark,0.4600,2.16510,0.212461
14/04/1981,French franc,0.7400,5.10770,0.144879
14/04/1981,Japanese yen,34.0000,216.02000,0.157393
14/04/1981,U.K. pound,0.0710,2.17500,0.154425
14/04/1981,U.S. dollar,0.5400,1.00000,0.540000
15/04/1981,Deutsche mark,0.4600,2.17350,0.211640
15/04/1981,French franc,0.7400,5.12800,0.144306
15/04/1981,Japanese yen,34.0000,216.25000,0.157225
15/04/1981,U.K. pound,0.0710,2.16500,0.153715
15/04/1981,U.S. dollar,0.5400,1.00000,0.540000
16/04/1981,Deutsche mark,0.4600,2.18300,0.210719
16/04/1981,French franc,0.7400,5.15650,0.143508
16/04/1981,Japanese yen,34.0000,217.25000,0.156502
16/04/1981,U.K. pound,0.0710,2.15600,0.153076
16/04/1981,U.S. dollar,0.5400,1.00000,0.540000
17/04/1981,Deutsche mark,0.4600,2.18980,0.210065
17/04/1981,French franc,0.7400,5.17000,0.143133
17/04/1981,Japanese yen,34.0000,217.45000,0.156358
17/04/1981,U.K. pound,0.0710,2.15500,0.153005
17/04/1981,U.S. dollar,0.5400,1.00000,0.540000
20/04/1981,Deutsche mark,0.4600,2.18400,0.210623
20/04/1981,French franc,0.7400,5.16250,0.143341
20/04/1981,Japanese yen,34.0000,218.10000,0.155892
20/04/1981,U.K. pound,0.0710,2.15880,0.153275
20/04/1981,U.S. dollar,0.5400,1.00000,0.540000
21/04/1981,Deutsche mark,0.4600,2.18320,0.210700
21/04/1981,French franc,0.7400,5.15720,0.143489
21/04/1981,Japanese yen,34.0000,217.95000,0.155999
21/04/1981,U.K. pound,0.0710,2.15810,0.153225
21/04/1981,U.S. dollar,0.5400,1.00000,0.540000
22/04/1981,Deutsche mark,0.4600,2.17500,0.211494
22/04/1981,French franc,0.7400,5.14580,0.143807
22/04/1981,Japanese yen,34.0000,217.52000,0.156307
22/04/1981,U.K. pound,0.0710,2.17180,0.154198
22/04/1981,U.S. dollar,0.5400,1.00000,0.540000
23/04/1981,Deutsche mark,0.4600,2.17100,0.211884
23/04/1981,French franc,0.7400,5.14070,0.143949
23/04/1981,Japanese yen,34.0000,215.45000,0.157809
23/04/1981,U.K. pound,0.0710,2.18040,0.154808
23/04/1981,U.S. dollar,0.5400,1.00000,0.540000
24/04/1981,Deutsche mark,0.4600,2.17920,0.211087
24/04/1981,French franc,0.7400,5.15700,0.143494
24/04/1981,Japanese yen,34.0000,215.50000,0.157773
24/04/1981,U.K. pound,0.0710,2.16780,0.153914
24/04/1981,U.S. dollar,0.5400,1.00000,0.540000
27/04/1981,Deutsche mark,0.4600,2.17500,0.211494
27/04/1981,French franc,0.7400,5.15720,0.143489
27/04/1981,Japanese yen,34.0000,211.85000,0.160491
27/04/1981,U.K. pound,0.0710,2.16750,0.153893
27/04/1981,U.S. dollar,0.5400,1.00000,0.540000
28/04/1981,Deutsche mark,0.4600,2.18530,0.210497
28/04/1981,French franc,0.7400,5.17920,0.142879
28/04/1981,Japanese yen,34.0000,213.15000,0.159512
