Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-04-09,Japanese yen,34.0,213.95,0.158916,1981,April
1981-04-09,U.K. pound,0.071,2.1925,0.155668,1981,April
1981-04-09,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-10,Deutsche mark,0.46,2.1468,0.214272,1981,April
1981-04-10,French franc,0.74,5.064,0.14613,1981,April
1981-04-10,Japanese yen,34.0,214.3,0.158656,1981,April
1981-04-10,U.K. pound,0.071,2.1882,0.155362,1981,April
1981-04-10,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-13,Deutsche mark,0.46,2.1749,0.211504,1981,April
1981-04-13,French franc,0.74,5.132,0.144193,1981,April
1981-04-13,Japanese yen,34.0,216.8,0.156827,1981,April
1981-04-13,U.K. pound,0.071,2.1582,0.153232,1981,April
1981-04-13,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-14,Deutsche mark,0.46,2.1651,0.212461,1981,April
1981-04-14,French franc,0.74,5.1077,0.144879,1981,April
1981-04-14,Japanese yen,34.0,216.02,0.157393,1981,April
1981-04-14,U.K. pound,0.071,2.175,0.154425,1981,April
1981-04-14,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-15,Deutsche mark,0.46,2.1735,0.21164,1981,April
1981-04-15,French franc,0.74,5.128,0.144306,1981,April
1981-04-15,Japanese yen,34.0,216.25,0.157225,1981,April
1981-04-15,U.K. pound,0.071,2.165,0.153715,1981,April
1981-04-15,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-16,Deutsche mark,0.46,2.183,0.210719,1981,April
1981-04-16,French franc,0.74,5.1565,0.143508,1981,April
1981-04-16,Japanese yen,34.0,217.25,0.156502,1981,April
1981-04-16,U.K. pound,0.071,2.156,0.153076,1981,April
1981-04-16,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-17,Deutsche mark,0.46,2.1898,0.210065,1981,April
1981-04-17,French franc,0.74,5.17,0.143133,1981,April
1981-04-17,Japanese yen,34.0,217.45,0.156358,1981,April
1981-04-17,U.K. pound,0.071,2.155,0.153005,1981,April
1981-04-17,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-20,Deutsche mark,0.46,2.184,0.210623,1981,April
1981-04-20,French franc,0.74,5.1625,0.143341,1981,April
1981-04-20,Japanese yen,34.0,218.1,0.155892,1981,April
1981-04-20,U.K. pound,0.071,2.1588,0.153275,1981,April
1981-04-20,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-21,Deutsche mark,0.46,2.1832,0.2107,1981,April
1981-04-21,French franc,0.74,5.1572,0.143489,1981,April
1981-04-21,Japanese yen,34.0,217.95,0.155999,1981,April
1981-04-21,U.K. pound,0.071,2.1581,0.153225,1981,April
1981-04-21,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-22,Deutsche mark,0.46,2.175,0.211494,1981,April
1981-04-22,French franc,0.74,5.1458,0.143807,1981,April
1981-04-22,Japanese yen,34.0,217.52,0.156307,1981,April
1981-04-22,U.K. pound,0.071,2.1718,0.154198,1981,April
1981-04-22,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-23,Deutsche mark,0.46,2.171,0.211884,1981,April
1981-04-23,French franc,0.74,5.1407,0.143949,1981,April
1981-04-23,Japanese yen,34.0,215.45,0.157809,1981,April
1981-04-23,U.K. pound,0.071,2.1804,0.154808,1981,April
1981-04-23,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-24,Deutsche mark,0.46,2.1792,0.211087,1981,April
1981-04-24,French franc,0.74,5.157,0.143494,1981,April
1981-04-24,Japanese yen,34.0,215.5,0.157773,1981,April
1981-04-24,U.K. pound,0.071,2.1678,0.153914,1981,April
