Année,Population,Sexe,Tranche d'âge,Population au premier janvier
1958.0,6926509.0,,,44563043.0
1959.0,7054907.0,,,45014662.0
1960.0,7191564.0,,,45464797.0
1961.0,7353099.0,,,45903656.0
1962.0,7545918.0,,,46422000.0
1963.0,7798816.0,,,47573406.0
1964.0,7947163.0,,,48059029.0
1965.0,8090887.0,,,48561800.0
1966.0,8213482.0,,,48953792.0
1967.0,8241860.0,,,49373537.0
1968.0,8232221.0,,,49723072.0
1969.0,8222146.0,,,50107735.0
1970.0,8219041.0,,,50528219.0
1971.0,8225871.0,,,51016234.0
1972.0,8260422.0,,,51485953.0
1973.0,8278579.0,,,51915873.0
1974.0,8293473.0,,,52320725.0
1975.0,8264830.0,,,52600000.0
1976.0,8221672.0,,,52798338.0
1977.0,8168577.0,,,53019005.0
1978.0,8122326.0,,,53271566.0
1979.0,8071089.0,,,53481073.0
1980.0,8023818.0,,,53731387.0
1981.0,8001799.0,,,54028630.0
1982.0,7972223.0,,,54335000.0
1983.0,7959738.0,,,54649984.0
1984.0,7908712.0,,,54894854.0
1985.0,7856616.0,,,55157303.0
1986.0,7812165.0,,,55411238.0
1987.0,7773028.0,,,55681780.0
1988.0,7742115.0,,,55966142.0
1989.0,7713791.0,,,56269810.0
1990.0,7679972.0,,,56577000.0
1991.0,7624089.0,,,56840661.0
1992.0,7558307.0,,,57110533.0
1993.0,7488064.0,,,57369161.0
1994.0,7414719.0,,,57565008.0
1995.0,7369709.0,,,57752535.0
1996.0,7357487.0,,,57935959.0
1997.0,7354803.0,,,58116018.0
1998.0,7341033.0,,,58298962.0
1999.0,7335411.0,,,58496613.0
2000.0,7351491.0,,,58858198.0
2001.0,7361385.0,,,59266572.0
2002.0,7373461.0,,,59685899.0
2003.0,7385310.0,,,60101841.0
2004.0,7417346.0,,,60505421.0
2005.0,7446044.0,,,60963264.0
2006.0,7465601.0,,,61399733.0
2007.0,7476232.0,,,61795238.0
2008.0,7487372.0,,,62134866.0
2009.0,7504742.0,,,62465709.0
2010.0,7523983.0,,,62765235.0
2011.0,7538742.0,,,63070344.0
2012.0,7549313.0,,,63375971.0
2013.0,7573188.0,,,63697865.0
2014.0,7611359.0,,,64027958.0
2015.0,7645022.0,,,64300821.0
2016.0,7640858.0,,,64468792.0
2017.0,7623320.0,,,64639133.0
2018.0,7620817.0,,,64844037.0
2019.0,7601460.0,,,65096768.0
2020.0,7561779.0,,,65269154.0
2021.0,7525001.0,,,65450219.0
2022.0,7495981.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,11347191.0,,,40125230.0
1947.0,11378940.0,,,40448254.0
1948.0,11393025.0,,,40910569.0
1949.0,11412936.0,,,41313195.0
1950.0,11423707.0,,,41647258.0
1951.0,11463438.0,,,42010088.0
1952.0,11484738.0,,,42300981.0
1953.0,11505205.0,,,42618354.0
1954.0,11499958.0,,,42885138.0
1955.0,11512727.0,,,43227872.0
1956.0,11541887.0,,,43627467.0
1957.0,11564432.0,,,44058683.0
1958.0,11593416.0,,,44563043.0
